,B.Cells.Memory,B.Cells.Naive,Plasma.Cells,T.Cells.CD8,T.Cells.CD4.Naive,T.Cells.CD4.Memory.Activated,T.Cells.CD4.Memory.Resting,T.Cells.Follicular.Helper,T.Cells.Regulatory.Tregs,T.Cells.gamma.delta,NK.Cells.Activated,NK.Cells.Resting,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.Cells.Resting,Dendritic.Cells.Activated,Mast.Cells.Activated,Mast.Cells.Resting,Eosinophils,Neutrophils
TCGA-OR-A5JM,0.00766307182409508,0,0.0129121810712839,0.0690098912540074,0,0,0.196584336909463,0.0351687741323524,0,0,0,0.128001870641736,0.104547534818781,0.197975927023179,0,0,0.0100792363584584,0.0376818484506678,0,0.152083031427707,0.04829229608827,0
TCGA-OR-A5JZ,0.0254858204418568,0.00478952895672629,0,0.0975125950140129,0,0,0.225939850491924,0,0,0,0.0637780356484202,0,0.0292774111167589,0,0.00926625122433416,0.408792852475725,0,0.0396074884959488,0,0.0955501661342919,0,0
TCGA-OR-A5LK,0,0.0045860894476441,0.0433657710214019,0.149384947420368,0,0,0.132721790365688,0.0251465320431747,0.00353545638045095,0,0.0248453518802823,0,0.0500676248331609,0,0.0129175835843517,0.424809313175692,0.00695871283588851,0.00217361438680851,0.00202399868119852,0.11746321394389,0,0
TCGA-PA-A5YG,0.00852254017580712,0.00559972650984716,0,0.182001759186371,0,0,0.0656143684351444,0.0081607036525595,0.004576675308918,0,0.0862951399826115,0,0.0287283027352703,0,0,0.38090955393183,0,0.00998955539321174,0.0244464278115002,0.195155246876929,0,0
TCGA-OR-A5J2,0,0.0221364277593447,0.151287437526309,0.11324338809002,0,0,0.138389259926034,0.0107314237290161,0,0,0.00660467225876633,0,0.0474206908296363,0,0.0164999082125404,0.444081502820336,0,0.0496052888479971,0,0,0,0
TCGA-OR-A5JF,0,0.0129020860977034,0,0.0661896765501896,0.10160299158394,0,0.281089159373212,0,0,0,0,0,0.0446313120916835,0,0.00222263789530478,0.31492352572312,0,0.118370736842038,0.058067873842808,0,0,0
TCGA-OR-A5JR,0.0145316045644376,0,0.000636741916389611,0.134157452146925,0,0,0.173295951297947,0.000525503927965549,0,0,0.118882203055063,0,0.0652752864147129,0,0,0.452244500595416,0,0.0213645204612623,0.0190862356198805,0,0,0
TCGA-OR-A5JS,0.0213933548068989,0.00959699122429649,0.0876893397400021,0.149415402531212,0.163897543739713,0,0.0302985957923094,0,0,0,0.0945614959114562,0,0.0877676655679396,0.000572936276681774,0,0.130872152857563,0,0.217621835490632,0,0.00631268606129588,0,0
TCGA-OR-A5K6,0.0156010943818369,0.00746667400670848,0.0332396034633692,0.0496726958207275,0.00217772369037455,0,0.0894077770885348,0.0160287966433751,0,0,0.0438577399571007,0,0.195060947159258,0.0180614935260538,0,0.376071144160697,0,0.12746670884126,0.0139934583848369,0,0.0118941428758669,0
TCGA-OR-A5KV,0.0122958614377998,0,0.0083003576201417,0.111362017771806,0.0279822110838147,0,0.27080075108017,0,0,0,0.00985632951479341,0.135779640015821,0.143832271909995,0.136566151379874,0,0,0,0.00173468288634935,0,0.141489725299436,0,0
TCGA-OR-A5KZ,0.0461694095090779,0,0.00820379630883176,0.182027052576255,0.038537111580472,0,0,0.0107522923970994,0,0,0,0.0631607278182049,0,0.230804697441054,0.0338538645072208,0.376360630329577,0,0,0.0101304175322067,0,0,0
TCGA-OR-A5L3,0.0165629247737199,0.00409314390286429,0,0.0776719975960289,0.0863130953760013,0,0.0752785155204859,0.0409428767125029,0,0,0.0255341759904428,0.0640530953694028,0.126630014478874,0,0,0.178830025261545,0,0.206686320407395,0,0.0947489392028937,0,0.00265487540784359
TCGA-OR-A5L8,0.0191225235921451,0.0478208346754003,0,0.0828799830246453,0.320139108662184,0,0.064652525233374,0,0,0,0,0.0670812147424366,0.101344375664521,0,0,0.253192217033688,0,0.0141948046119313,0,0.0295724127596746,0,0
TCGA-OR-A5LA,0,0.0117385613553523,0.028576602409466,0.117200484639686,0,0,0.154941030319079,0.0310317370374236,0.0215425831272245,0,0.0827092206861586,0,0.0296807164026383,0,0.0158709134931877,0.28146309193313,0.00458094451092559,0,0,0.220664114085729,0,0
