,Disease,Gene1,Gene2,IAP,Synergy_score,Gene1_expression,Gene2_expression,wilcox_pvalue,specificity_pvalue,sensitivity_R
90,brca,AMD 1.00,ARID3B,IFNGscore,-0.287668956767777,High,Low,0.690317381311241,0.0592948717948718,0.470571203079054
91,brca,AMD 1.00,ARRDC5,IFNGscore,0.333068995554402,Low,High,0.406862745098039,0.205278592375367,0.443053591226383
94,brca,AMD 1.00,VSIR,IFNGscore,0.27960556137668,Low,High,0.117926007227394,0.297560975609756,0.37688880836551
96,brca,AMD 1.00,CD27,IFNGscore,-0.0366783708292442,Low,Low,0.552615995804321,0.454692556634304,0.63064302958392
97,brca,AMD 1.00,CD274,IFNGscore,-0.096189240652829,High,Low,0.514287610893647,0.271954674220963,0.487694650001926
98,brca,AMD 1.00,CD276,IFNGscore,-0.0990908426614471,Low,High,0.868919113960729,0.70777027027027,0.791554388162622
99,brca,AMD 1.00,CD28,IFNGscore,0.068845818273316,Low,High,0.356232003290827,0.619718309859155,1.77903606799877
100,brca,AMD 1.00,CD70,IFNGscore,-0.232198135688112,Low,Low,0.124076350164428,0.0604026845637584,0.43413840209173
101,brca,AMD 1.00,CD80,IFNGscore,-0.0466262729261376,Low,Low,0.657114856788964,0.364285714285714,0.663269181055347
102,brca,AMD 1.00,CD86,IFNGscore,0.0430541412275904,Low,High,0.314371902607197,0.613675213675214,3.20868177325637
104,brca,AMD 1.00,COQ10A,IFNGscore,-0.215293208354596,Low,Low,0.0864217314962381,0.138795986622074,0.448847450866758
105,brca,AMD 1.00,CSF1,IFNGscore,0.0209410084492379,Low,High,0.660471881060116,0.868600682593857,5.17189616989907
106,brca,AMD 1.00,CSF1R,IFNGscore,0.333068995554402,Low,High,0.210603715170279,0.268680445151033,0.410279409204505
107,brca,AMD 1.00,CSF2,IFNGscore,0.23848158735546,Low,High,0.253259065357871,0.259504132231405,0.630063522687709
109,brca,AMD 1.00,CTLA4,IFNGscore,0.0507174579757824,High,High,1,0.573051948051948,0.849189192052231
110,brca,AMD 1.00,CYFIP2,IFNGscore,0.327270070464151,Low,High,0.125942684766214,0.413183279742765,0.426224942422875
113,brca,AMD 1.00,DOCK7,IFNGscore,0.275648385078577,Low,High,0.658978328173375,0.252983293556086,0.381368119496785
117,brca,AMD 1.00,FLT3LG,IFNGscore,0.173762084513721,High,High,0.343234568635026,0.454248366013072,0.472577072450228
121,brca,AMD 1.00,HDC,IFNGscore,0.296455668013242,Low,High,0.270270699372867,0.283393501805054,0.48983085251762
123,brca,AMD 1.00,HLA-DPA1,IFNGscore,0.0257738895015034,Low,High,0.270316628675762,0.699828473413379,2.55337495021605
124,brca,AMD 1.00,ICOS,IFNGscore,0.0790223527059966,Low,High,0.591807573231722,0.505592841163311,0.623589916350883
125,brca,AMD 1.00,ICOSLG,IFNGscore,-0.109509347775864,Low,Low,0.467576085914291,0.320481927710843,0.584823265775335
126,brca,AMD 1.00,IDO1,IFNGscore,0.056821515383818,Low,High,0.386679368103517,0.536912751677852,0.855583241561468
127,brca,AMD 1.00,IL13RA2,IFNGscore,0.362249748635688,Low,Low,0.851995940086828,0.0967741935483871,0.696390745466166
128,brca,AMD 1.00,IL34,IFNGscore,-0.0670715647287751,Low,Low,0.892868377714674,0.519337016574586,1.89611563001574
129,brca,AMD 1.00,ILF2,IFNGscore,-0.224341955650875,Low,High,0.553791719116797,0.139810426540284,0.560811508740062
133,brca,AMD 1.00,KLRG2,IFNGscore,-0.236719351150697,High,Low,1,0.0509915014164306,0.525115423858749
134,brca,AMD 1.00,LAG3,IFNGscore,0.058873837306362,High,High,0.798965740142211,0.348441926345609,0.693963513228798
136,brca,AMD 1.00,MAL,IFNGscore,0.270115892025531,Low,High,0.0354629890233605,0.473344103392569,0.368508391029793
137,brca,AMD 1.00,MAN2C1,IFNGscore,-0.184525512115881,Low,Low,0.34562123722276,0.310786106032907,0.665076199111254
138,brca,AMD 1.00,MAST3,IFNGscore,0.149019262851933,Low,High,0.296536796536796,0.713826366559486,0.769737075442378
139,brca,AMD 1.00,ME2,IFNGscore,-0.107966516183809,Low,High,0.71425548861511,0.250559284116331,2.91692797368011
140,brca,AMD 1.00,NCR3,IFNGscore,-0.0517793048743618,Low,Low,0.359332561743519,0.335570469798658,0.614614161844364
142,brca,AMD 1.00,NT5E,IFNGscore,0.231091344464544,Low,High,0.317599067599068,0.315384615384615,0.484928677282175
143,brca,AMD 1.00,PANK4,IFNGscore,-0.107925254220828,High,Low,1,0.258426966292135,0.992755098081554
145,brca,AMD 1.00,PDCD1,IFNGscore,0.103753829378267,High,High,0.353924025750651,0.254957507082153,0.395659152912194
146,brca,AMD 1.00,PDCD1LG2,IFNGscore,0.0927349501098536,Low,High,0.431967928871954,0.480984340044743,0.498887764290645
147,brca,AMD 1.00,PHYH,IFNGscore,0.356116767144849,Low,Low,0.147685213895116,0.170940170940171,0.498217509027438
149,brca,AMD 1.00,PLCH2,IFNGscore,0.0728901471981599,Low,High,1,0.8690036900369,1.64958629180396
150,brca,AMD 1.00,PSMD9,IFNGscore,0.128084699788583,High,High,0.516253749584036,0.475,1.42528713760064
