"";"x"
"1";"ARID3B"
"2";"SCAMP5"
"3";"ARRDC5"
"4";"NPAS1"
"5";"VPS39"
"6";"ACTL6B"
"7";"KCNA5"
"8";"MAST3"
"9";"ARHGEF18"
"10";"LCNL1"
"11";"VAMP2"
"12";"RBCK1"
"13";"TYK2"
"14";"TTTY13"
"15";"PLA2G4B"
"16";"MAN2C1"
"17";"LOC285095"
"18";"RINL"
"19";"CYFIP2"
"20";"ASAH2"
"21";"PLCH2"
"22";"MAL"
"23";"COQ10A"
"24";"PSMD9"
"25";"PANK4"
"26";"HDC"
"27";"KDELR3"
"28";"ROPN1B"
"29";"ME2"
"30";"HDAC2"
"31";"HAO1"
"32";"SAMD8"
"33";"ROPN1"
"34";"ILF2"
"35";"DEFA1B"
"36";"SESTD1"
"37";"AMD1"
"38";"PHYH"
"39";"JRKL"
"40";"PAPSS1"
"41";"USP6NL"
"42";"PLA2G4A"
"43";"DOCK7"
"44";"ELF5"
