,Disease,Gene1,Gene2,IAP,Synergy_score,Gene1_expression,Gene2_expression,wilcox_pvalue,specificity_pvalue,sensitivity_R
1,ucec,AMPD3,ANKRD27,IFNGscore,NA,NA,NA,NA,NA,NA
2,ucec,AMPD3,ANKRD29,IFNGscore,0.130451003473925,Expressed,Expressed,0.278062562783872,0.418094970497331,0.654570017555193
3,ucec,AMPD3,ARID3B,IFNGscore,NA,NA,NA,NA,NA,NA
4,ucec,AMPD3,VSIR,IFNGscore,NA,NA,NA,NA,NA,NA
5,ucec,AMPD3,CD27,IFNGscore,0,Expressed,Inhibited,0.680191470797998,0.637538634447879,Inf
6,ucec,AMPD3,CD274,IFNGscore,0.296577296407836,Expressed,Expressed,0.0661153014391262,0.214640198511166,0.428670886998655
7,ucec,AMPD3,CD276,IFNGscore,-0.137739398276977,Inhibited,Expressed,0.215522832606156,0.354512229406803,0.534485850140281
8,ucec,AMPD3,CD28,IFNGscore,NA,NA,NA,NA,NA,NA
9,ucec,AMPD3,CD5,IFNGscore,0,Expressed,Inhibited,0.984469283815905,0.637538634447879,Inf
10,ucec,AMPD3,CD70,IFNGscore,0,Expressed,Inhibited,0.286928145190428,0.637538634447879,Inf
11,ucec,AMPD3,CD80,IFNGscore,0.0652150301836959,Inhibited,Expressed,0.669795093769193,0.596132223971217,0.447900175954988
12,ucec,AMPD3,CD86,IFNGscore,0.138565717522138,Inhibited,Expressed,0.317260953321781,0.406417112299465,0.593155836877677
13,ucec,AMPD3,COQ10A,IFNGscore,NA,NA,NA,NA,NA,NA
14,ucec,AMPD3,CSF1,IFNGscore,NA,NA,NA,NA,NA,NA
15,ucec,AMPD3,CSF1R,IFNGscore,-0.0788409681946511,Inhibited,Inhibited,0.777600444451442,0.623284734133791,1.40701492388589
16,ucec,AMPD3,CTLA4,IFNGscore,0,Expressed,Inhibited,0.526776851168911,0.637538634447879,Inf
17,ucec,AMPD3,NCR3LG1,IFNGscore,-0.222263557555677,Inhibited,Expressed,0.110300469932418,0.181746345318056,0.494770371033035
18,ucec,AMPD3,ELMO1,IFNGscore,0.157188736964778,Inhibited,Expressed,0.825429281821966,0.750618593142453,0.810235845750533
19,ucec,AMPD3,FAM65B,IFNGscore,0.0979506802673554,Inhibited,Expressed,1,0.779086892488954,0.935343213079371
20,ucec,AMPD3,FLT3,IFNGscore,-0.278862959350459,Inhibited,Inhibited,0.0707914894860717,0.0316844487552538,0.444280588587769
21,ucec,AMPD3,GBP6,IFNGscore,NA,NA,NA,NA,NA,NA
22,ucec,AMPD3,GUCA1A,IFNGscore,0.214564482807297,Expressed,Expressed,0.159889812070116,0.455817875210793,0.474008791669271
23,ucec,AMPD3,HHLA2,IFNGscore,0.571212948019341,Expressed,Inhibited,0.0206076803208482,0.0109581343073897,0.189190516706119
24,ucec,AMPD3,HLA-G,IFNGscore,NA,NA,NA,NA,NA,NA
25,ucec,AMPD3,ICOS,IFNGscore,0,Expressed,Inhibited,0.277411127730814,0.637538634447879,Inf
26,ucec,AMPD3,ICOSLG,IFNGscore,-0.124360816628059,Inhibited,Expressed,0.425334232570174,0.26802457161332,0.658937597180494
27,ucec,AMPD3,IDO1,IFNGscore,NA,NA,NA,NA,NA,NA
28,ucec,AMPD3,ITPRIPL2,IFNGscore,NA,NA,NA,NA,NA,NA
29,ucec,AMPD3,KCNA5,IFNGscore,NA,NA,NA,NA,NA,NA
30,ucec,AMPD3,KHNYN,IFNGscore,-0.12898709791875,Expressed,Expressed,0.983161186763959,0.470373746581586,0.996960254291189
31,ucec,AMPD3,LAG3,IFNGscore,0,Expressed,Inhibited,0.733887160537308,0.637538634447879,Inf
32,ucec,AMPD3,MTMR2,IFNGscore,0.268366745654352,Expressed,Expressed,0.483911507989814,0.285293540153151,0.49336283171058
33,ucec,AMPD3,NAV2,IFNGscore,NA,NA,NA,NA,NA,NA
34,ucec,AMPD3,NDST3,IFNGscore,NA,NA,NA,NA,NA,NA
35,ucec,AMPD3,NDST4,IFNGscore,NA,NA,NA,NA,NA,NA
36,ucec,AMPD3,NFATC3,IFNGscore,0.111515978349859,Expressed,Expressed,0.273680441186112,0.748964916103726,1.08006507081735
37,ucec,AMPD3,NLRC5,IFNGscore,NA,NA,NA,NA,NA,NA
38,ucec,AMPD3,NR3C2,IFNGscore,-0.107091042737736,Expressed,Expressed,0.960612881264807,0.41025641025641,0.625696105738439
39,ucec,AMPD3,NT5E,IFNGscore,-0.195941676175219,Inhibited,Expressed,0.188369515594183,0.0954264524103832,0.513528656951622
40,ucec,AMPD3,PDCD1,IFNGscore,0,Expressed,Inhibited,0.6574759424224,0.637538634447879,Inf
41,ucec,AMPD3,PDCD1LG2,IFNGscore,-0.141999875825819,Expressed,Inhibited,0.0374180964279862,0.22093023255814,0.432595822021343
42,ucec,AMPD3,PEX13,IFNGscore,0.218317850122053,Inhibited,Expressed,0.404302082608922,0.379017209205888,0.455639242230385
43,ucec,AMPD3,PLD6,IFNGscore,0.275085263954442,Expressed,Inhibited,0.580798795369173,0.210452374262433,0.372825484583188
44,ucec,AMPD3,SERPINB9,IFNGscore,-0.117141451736979,Expressed,Inhibited,0.250502675688978,0.380942788074134,0.597959120711103
45,ucec,AMPD3,SFN,IFNGscore,0.263376016982708,Expressed,Expressed,0.417196346717722,0.324581258488004,0.486177545085413
46,ucec,AMPD3,TLR3,IFNGscore,NA,NA,NA,NA,NA,NA
47,ucec,AMPD3,TNFRSF18,IFNGscore,0.171978758105875,Expressed,Expressed,0.815800139359671,0.530519346161804,0.561422852018901
48,ucec,AMPD3,TNFRSF4,IFNGscore,0.175943342712467,Expressed,Expressed,0.441656384283169,0.58852330591461,0.535590368142264
49,ucec,AMPD3,TNFRSF9,IFNGscore,NA,NA,NA,NA,NA,NA
50,ucec,AMPD3,TNFSF18,IFNGscore,NA,NA,NA,NA,NA,NA
51,ucec,AMPD3,TNFSF4,IFNGscore,NA,NA,NA,NA,NA,NA
52,ucec,AMPD3,TNFSF9,IFNGscore,0.105476310945592,Expressed,Expressed,0.462091716840296,0.772308848393763,1.27454207548962
53,ucec,AMPD3,VTCN1,IFNGscore,0.16841830182707,Expressed,Inhibited,0.756549839457783,0.458237867111019,0.864821440245405
54,ucec,AMPD3,XCL1,IFNGscore,-0.0374532703986973,Inhibited,Inhibited,0.515237954031076,0.807861866274798,2.05972480872106
55,ucec,ANKRD27,ANKRD29,IFNGscore,0.0833471565003109,Inhibited,Expressed,0.796851109293919,0.501838755304102,1.05318425716308
56,ucec,ANKRD27,ARID3B,IFNGscore,0.124416852342785,Inhibited,Expressed,0.676063803240713,0.599110232328225,0.561857668185569
57,ucec,ANKRD27,VSIR,IFNGscore,-0.203002488085553,Expressed,Inhibited,0.0525294447614525,0.18515340055782,0.379206066256477
58,ucec,ANKRD27,CD27,IFNGscore,0.0815402146340513,Expressed,Expressed,0.398302322793303,0.540929808568824,0.660702320585803
59,ucec,ANKRD27,CD274,IFNGscore,0.0286513369357556,Inhibited,Expressed,0.262510995703617,0.894230769230769,6.13999349936977
60,ucec,ANKRD27,CD276,IFNGscore,0.134172469742083,Inhibited,Inhibited,1,0.703165912877886,0.589237249586372
61,ucec,ANKRD27,CD28,IFNGscore,-0.0752973795969275,Expressed,Inhibited,0.201672288420755,0.475966954562523,0.680991236420052
62,ucec,ANKRD27,CD5,IFNGscore,0.272880248982731,Expressed,Expressed,0.0203331506940361,0.260352684763226,0.309648009419324
63,ucec,ANKRD27,CD70,IFNGscore,0.0639786878864498,Expressed,Expressed,0.615026329776089,0.805742322369617,1.16442983136083
64,ucec,ANKRD27,CD80,IFNGscore,-0.0939042490461406,Expressed,Inhibited,0.333117266535861,0.505567493651104,0.728563131464436
65,ucec,ANKRD27,CD86,IFNGscore,NA,NA,NA,NA,NA,NA
66,ucec,ANKRD27,COQ10A,IFNGscore,0.150655788222258,Inhibited,Expressed,0.899807931303283,0.292503536067892,0.523048639785051
67,ucec,ANKRD27,CSF1,IFNGscore,NA,NA,NA,NA,NA,NA
68,ucec,ANKRD27,CSF1R,IFNGscore,-0.0506710024770907,Expressed,Inhibited,0.635237527864013,0.751929674099485,1.33997317863695
69,ucec,ANKRD27,CTLA4,IFNGscore,0.140362519502327,Expressed,Expressed,0.101135733133755,0.372577171572146,0.410742884267688
70,ucec,ANKRD27,NCR3LG1,IFNGscore,0.168932924498843,Inhibited,Expressed,0.520584152594361,0.253182461103253,1.16817761423889
71,ucec,ANKRD27,ELMO1,IFNGscore,0.101966551095853,Expressed,Expressed,0.551588633256695,0.837044892188052,0.954481062696969
72,ucec,ANKRD27,FAM65B,IFNGscore,NA,NA,NA,NA,NA,NA
73,ucec,ANKRD27,FLT3,IFNGscore,NA,NA,NA,NA,NA,NA
74,ucec,ANKRD27,GBP6,IFNGscore,0.195539082637596,Expressed,Expressed,0.585362884175887,0.604220277920741,0.440067592737903
