Symbol,Group
CLDN4,E
DYNC1LI2,E
IRF6,E
CTNND1,E
HOOK1,E
GALNT3,E
MYO5B,E
PRSS8,E
GPR56,E
CNOT1,E
GRHL2,E
ERBB3,E
ATP8B1,E
F11R,E
OCLN,E
CDS1,E
MAP7,E
CGN,E
SPINT1,E
ESRP1,E
AP1G1,E
MARVELD3,E
SPOCK1,M
SYT11,M
MARVELD2,E
NAP1L3,M
CALD1,M
BNC2,M
ANTXR1,M
DACT1,M
GPC6,M
ESRP2,E
CMTM3,M
FSTL1,M
MSRB3,M
GYPC,M
HTRA1,M
AXL,M
ANGPTL2,M
ZEB2,M
PMP22,M
COL6A1,M
LOXL2,M
PCOLCE,M
PDGFRB,M
EMP3,M
COL6A2,M
MMP2,M
CNRIP1,M
POSTN,M
ADAM12,M
COL3A1,M
COL10A1,M
SULF1,M
NID2,M
LRRC15,M
COL8A1,M
FAP,M
VCAN,M
ITGA11,M
INHBA,M
SPARC,M
OLFML2B,M
AEBP1,M
ADAMTS12,M
ADAMTS2,M
COL1A1,M
COL1A2,M
COL5A1,M
THBS2,M
COL5A2,M
COL6A3,M
FBN1,M
CDH1,E
CDH2,M
FN1,M
VIM,M
