,x
1,EMTscore
2,Leukocyte_fraction
3,AGscore
4,TMB_Non.silent_per_Mb
5,TMB_Silent_per_Mb
6,IFNGscore
7,B.Cells.Memory
8,B.Cells.Naive
9,Plasma.Cells
10,T.Cells.CD8
11,T.Cells.CD4.Naive
12,T.Cells.CD4.Memory.Activated
13,T.Cells.CD4.Memory.Resting
14,T.Cells.Follicular.Helper
15,T.Cells.Regulatory.Tregs
16,T.Cells.gamma.delta
17,NK.Cells.Activated
18,NK.Cells.Resting
19,Monocytes
20,Macrophages.M0
21,Macrophages.M1
22,Macrophages.M2
23,Dendritic.Cells.Resting
24,Dendritic.Cells.Activated
25,Mast.Cells.Activated
26,Mast.Cells.Resting
27,Eosinophils
28,Neutrophils
