"","Gene1","Gene2"
"1","EPHA4","EFNB1"
"2","FCER2","CR2"
"3","EFNA4","EPHA5"
"4","TNFRSF6B","FASLG"
"5","HLA-F","LILRB1"
"6","CEACAM6","CEACAM6"
"7","WNT5A","FZD3"
"8","NOTCH2","DLL3"
"9","NTRK1","NTF3"
"10","EREG","EGFR"
"11","CADM3","NECTIN3"
"12","PVR","TIGIT"
"13","NECTIN1","CADM3"
"14","CCR3","CCL15"
"15","DLK1","NOTCH3"
"16","CCR2","CCL7"
"17","FGF2","FGFR4"
"18","CCL19","ACKR4"
"19","CD2","CD58"
"20","TEK","ANGPT4"
"21","NOTCH4","DLL4"
"22","ICAM3","CLEC4M"
"23","LTA","TNFRSF14"
"24","EPHB2","EFNB1"
"25","MDK","ALK"
"26","NOTCH1","DLL4"
"27","EPHA8","EFNA5"
"28","WNT2B","FZD4"
"29","CD99","PILRA"
"30","SELP","CD34"
"31","PDCD1","CD274"
"32","TGFB2","TGFBR3"
"33","TNFRSF10A","TNFSF10"
"34","TNFSF14","TNFRSF14"
"35","CD46","JAG1"
"36","PF4","CXCR3"
"37","EPHA1","EFNA3"
"38","WNT5A","FZD2"
"39","EFNA2","EPHA7"
"40","NECTIN1","NECTIN4"
"41","TNFRSF10C","TNFSF10"
"42","FGF2","FGFR1"
"43","CXCR3","CXCL9"
"44","NRP2","SEMA3C"
"45","CLEC2B","KLRF1"
"46","KDR","VEGFC"
"47","NOTCH2","JAG2"
"48","NCR3","BAG6"
"49","NOTCH2","DLL4"
"50","MDK","PTPRZ1"
"51","EFNA5","EPHA7"
"52","CXCR1","CXCL6"
"53","TNFSF15","TNFRSF6B"
"54","SPN","SIGLEC1"
"55","EPHA2","EFNA5"
"56","EPHA8","EFNA4"
"57","PLXNC1","SEMA7A"
"58","SELP","SELPLG"
"59","WNT2","FZD2"
"60","CADM3","CADM4"
"61","KIT","KITLG"
"62","TNFSF12","TNFRSF12A"
"63","NECTIN2","NECTIN3"
"64","ERBB4","HBEGF"
"65","ANXA1","FPR2"
"66","CXCL8","CXCR2"
"67","ACKR2","CCL2"
"68","CCR8","CCL18"
"69","CTLA4","CD80"
"70","CEACAM5","CEACAM6"
"71","CX3CR1","CX3CL1"
"72","HLA-E","KLRK1"
"73","SIRPA","CD47"
"74","LEFTY2","TDGF1"
"75","NRP1","VEGFB"
"76","CCL16","CCR1"
"77","DLL3","NOTCH3"
"78","DSG1","DSC2"
