,x
TCGA-OR-A5J1-01,0.04637391
TCGA-OR-A5J2-01,0.057858686
TCGA-OR-A5J3-01,0.048460325
TCGA-OR-A5J5-01,0.016759048
TCGA-OR-A5J6-01,0.189302425
TCGA-OR-A5J7-01,0.037859018
TCGA-OR-A5J8-01,0.314571273
TCGA-OR-A5J9-01,0.031046845
TCGA-OR-A5JA-01,0.034775692
TCGA-OR-A5JB-01,0.257026146
TCGA-OR-A5JC-01,0.075975844
TCGA-OR-A5JD-01,0.181995726
TCGA-OR-A5JE-01,0.09800886
TCGA-OR-A5JF-01,0.093111844
TCGA-OR-A5JG-01,0.037777925
TCGA-OR-A5JI-01,0.178299225
TCGA-OR-A5JJ-01,0.046054059
TCGA-OR-A5JK-01,0.281138249
TCGA-OR-A5JL-01,0.11905082
TCGA-OR-A5JM-01,0.001251971
TCGA-OR-A5JO-01,0.303730391
TCGA-OR-A5JP-01,0.044804237
TCGA-OR-A5JQ-01,0.229189473
TCGA-OR-A5JR-01,0.117670812
TCGA-OR-A5JS-01,0.035720243
TCGA-OR-A5JT-01,0.046913255
TCGA-OR-A5JV-01,0.374965244
TCGA-OR-A5JW-01,0.056144846
TCGA-OR-A5JX-01,0.036994112
TCGA-OR-A5JY-01,0.051240546
TCGA-OR-A5JZ-01,0.055739945
TCGA-OR-A5K0-01,0.006609021
TCGA-OR-A5K1-01,0.095516884
TCGA-OR-A5K2-01,0.056623077
TCGA-OR-A5K3-01,0.098496756
TCGA-OR-A5K4-01,0.022580982
TCGA-OR-A5K5-01,0.02936731
TCGA-OR-A5K6-01,0.060397477
TCGA-OR-A5K8-01,0.026314906
TCGA-OR-A5K9-01,0.003871355
TCGA-OR-A5KO-01,0.014135019
TCGA-OR-A5KT-01,0.232337893
TCGA-OR-A5KU-01,0.074931469
TCGA-OR-A5KV-01,0.026772257
TCGA-OR-A5KW-01,0.039859231
TCGA-OR-A5KX-01,0.020801987
TCGA-OR-A5KY-01,0.158305594
TCGA-OR-A5KZ-01,0.020229962
TCGA-OR-A5L3-01,0.148951515
TCGA-OR-A5L4-01,0.082476293
TCGA-OR-A5L5-01,0.321994792
TCGA-OR-A5L6-01,0.06084144
TCGA-OR-A5L8-01,0.010599341
TCGA-OR-A5L9-01,0.187685905
TCGA-OR-A5LA-01,0.246672054
TCGA-OR-A5LB-01,0.015787835
TCGA-OR-A5LC-01,0.028218195
TCGA-OR-A5LD-01,0.010773966
TCGA-OR-A5LE-01,0.024616804
TCGA-OR-A5LG-01,0.047010286
TCGA-OR-A5LH-01,0.192148271
TCGA-OR-A5LJ-01,0.054429169
TCGA-OR-A5LK-01,0.307473501
TCGA-OR-A5LL-01,0.072873378
TCGA-OR-A5LM-01,0.053011964
TCGA-OR-A5LN-01,0.237653634
TCGA-OR-A5LO-01,0.018602201
TCGA-OR-A5LP-01,0.21178683
TCGA-OR-A5LR-01,0.067290732
TCGA-OR-A5LS-01,0.051716298
TCGA-OR-A5LT-01,0.029829824
TCGA-OU-A5PI-01,0.053674659
TCGA-PA-A5YG-01,0.298122617
TCGA-PK-A5H9-01,0.072411553
TCGA-PK-A5HA-01,0.135924354
TCGA-PK-A5HB-01,0.038096904
