,TCGA-OR-A5J1,TCGA-OR-A5J2,TCGA-OR-A5J3,TCGA-OR-A5J5,TCGA-OR-A5J6,TCGA-OR-A5J7,TCGA-OR-A5J8,TCGA-OR-A5J9,TCGA-OR-A5JA,TCGA-OR-A5JB,TCGA-OR-A5JC,TCGA-OR-A5JD,TCGA-OR-A5JE,TCGA-OR-A5JF,TCGA-OR-A5JG,TCGA-OR-A5JI,TCGA-OR-A5JJ,TCGA-OR-A5JK,TCGA-OR-A5JL,TCGA-OR-A5JM,TCGA-OR-A5JO,TCGA-OR-A5JP,TCGA-OR-A5JQ,TCGA-OR-A5JR,TCGA-OR-A5JS,TCGA-OR-A5JT,TCGA-OR-A5JV,TCGA-OR-A5JW,TCGA-OR-A5JX,TCGA-OR-A5JY,TCGA-OR-A5JZ,TCGA-OR-A5K0,TCGA-OR-A5K1,TCGA-OR-A5K2,TCGA-OR-A5K3,TCGA-OR-A5K4,TCGA-OR-A5K5,TCGA-OR-A5K6,TCGA-OR-A5K8,TCGA-OR-A5K9,TCGA-OR-A5KO,TCGA-OR-A5KT,TCGA-OR-A5KU,TCGA-OR-A5KV,TCGA-OR-A5KW,TCGA-OR-A5KX,TCGA-OR-A5KY,TCGA-OR-A5KZ,TCGA-OR-A5L3,TCGA-OR-A5L4,TCGA-OR-A5L5,TCGA-OR-A5L6,TCGA-OR-A5L8,TCGA-OR-A5L9,TCGA-OR-A5LA,TCGA-OR-A5LB,TCGA-OR-A5LC,TCGA-OR-A5LD,TCGA-OR-A5LE,TCGA-OR-A5LG,TCGA-OR-A5LH,TCGA-OR-A5LJ,TCGA-OR-A5LK,TCGA-OR-A5LL,TCGA-OR-A5LM,TCGA-OR-A5LN,TCGA-OR-A5LO,TCGA-OR-A5LP,TCGA-OR-A5LR,TCGA-OR-A5LS,TCGA-OR-A5LT,TCGA-OU-A5PI,TCGA-P6-A5OF,TCGA-PA-A5YG,TCGA-PK-A5H8,TCGA-PK-A5H9,TCGA-PK-A5HA,TCGA-PK-A5HB
CD27,7.829,32.8466,6.0198,6.0806,10.4618,1.773,150.071,3.3556,0.6078,182.048,5.7125,40.6189,2.4208,5.8114,2.3001,57.9093,50.6693,420.778,11.3225,1.6853,78.2229,1.4054,190.242,23.0798,4.0733,10.2997,38.0945,2.0316,6.8169,7.1966,8.1612,1.2368,17.1251,5.4243,8.0207,10.0736,4.6899,4.5078,1.7997,0,0.9372,93.9114,1.0914,4.7011,5.2329,2.5048,13.3481,13.0424,9.9219,2.2912,48.2796,6.1682,1.7957,48.2796,59.1393,5.5578,4.5251,7.7748,2.8415,8.5087,18.0191,43.4181,226.814,5.2939,1.2007,90.6243,2.6045,32.0872,18.7364,3.7201,5.9609,6.2657,0.966,52.8387,3.9413,12.4191,40.5678,0.8019
CD274,1.9212,5.2342,3.555,3.0984,1.6766,5.6157,25.2797,1.0199,5.2854,84.6608,8.9059,15.1699,3.9593,12.7425,2.6871,2.7752,4.9085,34.3249,8.9265,5.1724,21.5966,2.635,7.1663,15.493,4.4395,11.8441,43.6137,14.48,11.0264,26.8697,8.7322,5.814,5.7967,0,10.3493,20.1696,1.378,2.524,8.7083,1.759,0.9372,4.817,4.4851,0,2.7001,0.478,2.2136,2.4242,0,7.8028,6.0076,7.4766,0.399,21.5054,5.3239,2.7975,0.6784,1.3569,3.0752,0.455,15.2822,10.068,13.5593,11.3653,10.2056,6.9364,5.7665,18.0711,14.2259,6.7762,17.8571,3.4208,3.5197,17.1059,1.8738,33.1501,6.6152,12.4298
CD276,1722.86,6878.94,3761.81,2151.05,850.021,6422.38,5912.14,3002.37,6467.23,1812.19,3496.18,3027.31,2302.04,3439.71,6661.29,3128.58,2521.64,2362.32,4799.15,12562.9,2607.79,2878.35,4918.09,2707.98,7219.39,3582.14,5068.54,4665.64,2364.2,13927.9,2342.23,3287.53,2764.19,2844.31,1406.21,2413.07,9074.87,3960.63,2555.88,4568.16,1997.66,11346.8,4079.24,3122.64,4696.1,1156.79,3663.53,2367.88,3635.04,3052.31,2018.02,2239.25,1613.73,1467.74,1462.29,3837.28,2561.06,1649.93,3316.89,2843.82,2624.37,3660.71,1952.54,2141.47,4019.21,2361.85,3551.66,4081.87,2961.51,1757.07,5644.56,3193.84,4605.4,3008.32,1140.54,1098.84,4058.43,12743
CD28,4.3228,18.1184,1.7775,4.6476,133.008,12.0337,229.59,2.0399,8.9852,45.4495,5.0891,38.835,2.2624,1.5446,0,27.7521,29.8974,40.4272,52.1494,1.2931,91.7856,7.9051,23.0915,6.5728,5.1794,8.054,24.9221,0.4388,1.9458,5.3739,66.4987,13.7421,15.7338,2.5912,7.762,1.6808,9.187,0.5048,0,3.9578,0,79.9615,11.2129,7.3274,13.5007,7.1702,5.3127,23.0303,1.1161,4.2561,19.6614,29.9065,0.7981,59.1398,18.6335,0.9325,29.1723,0,0.615,5.4601,16.6715,9.5646,55.9322,4.1872,28.8158,11.5607,10.0913,148.976,10.8787,6.0986,21.2585,0.5701,2.3465,22.6537,36.2274,23.7285,165.932,25.2606
CD70,3.3622,1.2079,0.5925,51.8978,0,0.8022,11.6038,5.7797,3.6998,2167.32,3.8168,2.4272,0,0,2.1497,1.8501,44.6229,15.2555,0.4698,0.431,2.6996,1.7567,1.9906,0.4695,0,0.4738,9.865,0,1.9458,1.3435,2.0151,118.922,1.6562,2.5912,72.445,1.6808,8.7276,0,0,0,0.9372,4.817,0,3.0852,1.0801,1.912,4.4272,3.6364,0,0,12.5614,5.6075,0,26.8817,2.6619,0,0.6784,0,0,14.1053,2.3155,4.5306,1.6949,0,5.403,2.3121,4.3248,3.5261,0,1.3552,5.102,1.1403,0.3911,2.3116,1.8738,0.6979,1.6538,2.0048
CD80,2.8818,4.4289,0,0,3.912,3.6101,33.1538,0,3.6998,34.3099,3.8168,6.6748,3.3937,0.7723,2.1497,0.9251,0.4462,21.3577,4.6981,0,15.1176,1.7567,3.5832,0.939,0,0.9475,36.3448,0.4388,3.2431,10.7479,3.3585,1.0571,0,1.7275,2.5873,0,1.8374,3.5336,1.4514,0.8795,0,0,0,0,2.7001,2.3901,1.3282,3.6364,1.1161,0,2.1846,1.8692,0,5.3763,0,0,3.3921,0,0,3.6401,1.3893,2.517,6.7797,1.1964,1.2007,4.6243,0.9611,11.4597,0,2.0329,3.4014,0,3.1287,2.7739,6.8707,3.1405,17.6406,2.0048
CD86,195.005,68.4472,68.7306,48.0248,135.802,22.0618,732.698,19.7189,57.611,423.304,209.287,183.859,153.28,55.99,63.9527,243.293,31.6823,317.315,71.4118,102.155,513.999,32.0597,208.619,136.62,44.7651,27.4784,687.435,69.7674,123.885,185.401,51.7212,22.7273,28.9834,115.742,203.105,10.6451,76.7111,150.934,42.09,38.2586,35.6139,189.788,46.3465,24.2962,39.9622,43.021,156.281,59.3939,85.9375,117.042,138.722,128.972,28.731,150.538,186.335,29.3741,44.0977,44.7761,20.9112,164.259,49.0883,63.4281,574.576,13.1599,63.635,319.075,41.8068,182.474,57.7406,119.261,90.9864,64.9943,69.6128,259.362,169.269,52.3423,488.975,38.0914
CSF1,94.6206,172.728,122.056,56.5453,1501.65,67.3887,2307.92,80.5753,112.051,2313.47,167.939,384.709,30.543,119.317,63.4153,327.475,118.697,371.472,322.762,33.6207,1360.05,133.509,383,587.324,162.042,198.034,7625.65,127.688,88.8601,343.484,102.099,133.721,293.147,44.051,428.202,393.308,45.9348,362.948,63.8607,42.2164,137.301,409.441,115.866,104.898,72.364,13.3843,135.03,140.606,200.893,217.06,784.271,218.692,185.555,575.269,434.783,42.8954,238.127,1.3569,45.5127,403.595,1344.84,124.339,1542.37,273.964,69.6383,898.266,84.5747,1132.75,334.728,54.2097,147.109,273.66,238.17,1757.74,925.047,300.794,2354.47,124.699
CSF1R,882.325000000001,341.833,143.386,317.583,2627.19,71.3999,7944.05,146.871,223.044,2198.51,611.323,2259.71,621.041,228.98,259.035,738.205,83.4449,1579.71,434.108,21.5517,4598.46,191.48,1368.77,927.23,39.9556,264.361,7244.03,645.897,751.743,323.78,428.547,126.321,364.363,522.565,904.268999999999,197.214,163.068,789.5,181.422,123.131,25.7732,1770.71,113.624,92.1712,129.607,298.757,1008.97,241.818,289.062,510.019,1694.7,465.421,105.746,1881.72,2194.32,91.3859,244.912,123.474,35.0571,1141.62,577.483,322.175,4405.08,184.836,378.808,1661.27,43.729,2026.61,741.423,119.261,380.102,511.402,654.673,3469.26,1137.41,659.862,3696.8,82.1973
CTLA4,6.7243,11.2737,0,0.7746,10.0594,0.4011,100.704,1.0199,0.5285,60.1537,1.2723,18.8107,1.1312,0.3861,0,7.4006,11.602,120.519,0.9396,0,10.7983,0,15.9252,4.2254,1.1099,2.8426,46.729,0,13.6209,4.9261,2.0151,0,4.1405,1.7275,7.762,0.5603,1.378,0.5048,0,0,0,2.8902,0.7475,0.7713,0,1.912,2.2136,4.2424,4.4643,2.8374,8.1922,3.7383,0.399,0,3.5492,0.9325,0,4.0706,0,1.365,2.7786,24.6665,94.9153,0,0.6003,19.6532,0,7.4929,1.6736,0,0.8503,3.4208,1.5643,3.6986,0.6246,5.5832,23.7045,0.401
